Zip Code,County,AAW_2010,AAW_2011,AAW_2012,AAW_2013,AAW_2014,AAW_2015,AAW_2016
1001,"Autauga County, Alabama",31748,31106.96134,31812.13477,31529.04237,31121.65822,31914.92839,32694.81702
1003,"Baldwin County, Alabama",31189,30086.51016,30104.91187,30172.33587,30116.1501,30766.2888,30854.46366
1005,"Barbour County, Alabama",30272,30105.70962,30384.41296,30513.83245,30917.10186,31828.66692,31780.48416
1007,"Bibb County, Alabama",33123,32346.28633,32778.11322,33394.28181,33916.35258,34245.80415,35309.2516
1009,"Blount County, Alabama",29167,28534.23401,28672.46876,28727.47129,29830.68034,30182.43484,30357.28955
1011,"Bullock County, Alabama",29512,29237.89413,29699.82413,29374.27323,29501.5719,29783.81604,29713.57044
1013,"Butler County, Alabama",28961,28369.11867,28853.76676,29035.5606,28809.71685,29671.22212,29990.47754
1015,"Calhoun County, Alabama",37191,35962.50419,35101.9382,33741.34626,33664.52098,33410.4299,33860.88362
1017,"Chambers County, Alabama",30681,29796.59835,29944.38759,30005.29951,30187.06297,31493.60921,32137.40663
1019,"Cherokee County, Alabama",29807,28583.19263,28225.83356,28725.61534,29115.18767,30005.37182,29785.49436
1021,"Chilton County, Alabama",30017,29737.08003,29193.70053,29629.46768,30066.14743,31198.50417,31047.7592
1023,"Choctaw County, Alabama",44581,43122.94193,43438.81377,43481.42246,43287.761,42881.93946,42284.97303
1025,"Clarke County, Alabama",34197,33163.22326,33571.292,34319.47769,34640.0275,34375.65037,34025.40959
1027,"Clay County, Alabama",28836,27584.82083,27775.42132,28175.3233,27746.02381,28961.15401,29432.16809
1029,"Cleburne County, Alabama",34430,33308.17916,32979.2407,34415.05961,36132.83431,39090.06678,37483.15216
1031,"Coffee County, Alabama",29310,28828.94569,28955.74689,28856.46049,28999.72698,29615.83318,29826.85062
1033,"Colbert County, Alabama",38757,38137.80274,37692.9889,36831.51906,37423.81219,37963.21956,37953.3548
1035,"Conecuh County, Alabama",31312,30386.0217,30172.89862,29927.3492,30420.71178,30553.81317,31026.18202
1037,"Coosa County, Alabama",33057,31982.45661,31106.77221,31997.67218,32200.80663,32429.77317,32288.44686
1039,"Covington County, Alabama",31633,30525.21777,30602.53713,30418.25053,30172.51674,30291.3967,30890.42562
1041,"Crenshaw County, Alabama",31453,29772.59903,30574.20932,31061.34054,31403.49142,32111.05974,31760.70508
1043,"Cullman County, Alabama",32961,32001.65607,32165.28818,32404.12734,32688.10532,33280.58369,33200.08258
1045,"Dale County, Alabama",46972,46157.41622,46405.68013,46045.4307,45426.05675,46130.81888,47308.85901
1047,"Dallas County, Alabama",32448,31469.83109,31807.41347,31575.44136,31580.77359,31993.01772,32238.99917
1049,"DeKalb County, Alabama",31446,29611.32359,30092.63648,29467.07121,30121.60493,30926.09953,31254.54048
1051,"Elmore County, Alabama",31000,30650.01425,31015.17895,30758.81912,29909.77547,30385.83031,30509.22883
1053,"Escambia County, Alabama",33823,32821.47291,32951.85715,33191.05423,33250.86258,34210.39155,33902.23987
1055,"Etowah County, Alabama",33218,32102.45322,31715.82021,31255.28833,31153.4781,31975.76543,31767.89747
1057,"Fayette County, Alabama",28039,27151.87306,27627.17243,27959.104,28898.81251,29189.97391,28671.57262
1059,"Franklin County, Alabama",30222,29209.09495,29595.01122,29136.7104,29606.12292,30381.29023,30342.90476
1061,"Geneva County, Alabama",28000,27243.07048,27257.96659,27077.52317,27103.26229,28201.14504,28104.27268
1063,"Greene County, Alabama",32453,32085.17371,31688.43665,28353.49543,27173.26602,28933.00553,30037.22809
1065,"Hale County, Alabama",30746,29858.99659,29553.46376,31206.10539,30792.54977,31094.99041,31662.70874
1067,"Henry County, Alabama",33394,33047.06654,33237.96806,33462.02434,33282.68245,34442.84351,36650.63276
1069,"Houston County, Alabama",35555,34253.75245,34383.356,34472.59436,34683.66619,35758.55796,36137.27576
1071,"Jackson County, Alabama",32217,31260.557,30970.79871,30705.92427,30956.19486,31133.12706,30974.93623
1073,"Jefferson County, Alabama",46724,46029.73983,46780.55153,46025.94312,46215.1897,47481.94593,47273.79609
1075,"Lamar County, Alabama",31419,31592.70762,31331.5062,32200.89976,32953.57401,33130.76113,33156.02918
1077,"Lauderdale County, Alabama",29866,28780.94704,28788.61279,29395.61677,29336.10854,30320.45319,30344.70286
1079,"Lawrence County, Alabama",39936,39433.76614,39498.41489,39113.42144,41590.39783,29975.40731,29610.1798
1081,"Lee County, Alabama",33217,32401.00479,32210.61269,31749.90157,31869.8799,32882.8729,33272.90555
1083,"Limestone County, Alabama",40387,39464.48527,40680.62898,38625.30406,39710.29766,40916.99395,41928.94961
1085,"Lowndes County, Alabama",37350,37693.3353,38347.36139,39610.81863,39390.2806,40232.35027,39887.20926
1087,"Macon County, Alabama",35766,36774.64125,36313.42437,36278.44309,36229.20309,37362.11331,37368.97293
1089,"Madison County, Alabama",51940,51019.67888,50575.5343,49877.05938,50111.76095,50753.52573,50647.9271
1091,"Marengo County, Alabama",33458,32612.19882,33000.95869,33880.54324,33979.08319,34818.76192,35276.88584
1093,"Marion County, Alabama",31309,30223.78629,30222.94443,29097.73524,29130.64304,29703.91068,29852.02399
1095,"Marshall County, Alabama",30612,29801.39822,30221.05591,30052.62648,30199.79092,30536.56088,30821.19885
1097,"Mobile County, Alabama",40095,40316.94119,40060.24986,39663.71348,39585.74556,40564.68394,40754.79158
1099,"Monroe County, Alabama",39387,35829.06796,35253.01988,35047.01387,35584.62329,36556.70357,36724.35478
1101,"Montgomery County, Alabama",40850,40366.85978,39743.92261,39079.08619,38949.34802,39881.85629,40265.70891
1103,"Morgan County, Alabama",38118,37206.62905,37651.44144,37173.94362,37562.91051,38376.36661,38861.39432
1105,"Perry County, Alabama",29250,29204.29508,28774.44889,27711.33339,26555.9604,26751.95232,27384.1344
1107,"Pickens County, Alabama",30639,30196.90705,30103.96761,29852.18284,32041.70724,32304.46704,33227.05405
1109,"Pike County, Alabama",34053,33914.88203,33553.35106,32923.79604,34277.2809,35631.43579,35900.82587
1111,"Randolph County, Alabama",28962,28405.59764,28279.65641,27992.51128,28049.67636,28250.17788,29215.49728
1113,"Russell County, Alabama",32688,31626.30667,31266.35223,31566.16156,31394.40002,32496.96632,32390.93845
1115,"St. Clair County, Alabama",32150,31143.44031,30918.86438,31187.5458,31337.12424,32054.76278,32459.26618
1117,"Shelby County, Alabama",42771,42302.16512,43108.32261,42911.64285,43582.32215,45184.66674,45379.49979
1119,"Sumter County, Alabama",32211,31551.42879,31754.53489,31124.44317,32634.4661,33471.26694,33729.62246
